ParName   Value   Gradient
af    -0.684631 -5.2494e-005
am    -0.998932  -0.00254452
bf      1.31978 -2.95912e-005
bm      1.37083  -0.00411848
b1      1.16351 -0.000715702
bf1            1 -4.17013e-006
deltam       32.559 -0.000315619
deltaf      36.5706 1.89575e-006
mateste(1)     -5.05092 3.26034e-006
mateste(2)     -4.49909 -5.88168e-006
mateste(3)     -3.94725 7.85974e-006
mateste(4)     -3.39682 9.38411e-006
mateste(5)     -2.86506 2.90941e-005
mateste(6)     -2.39315 5.18455e-005
mateste(7)     -2.01626 8.57063e-005
mateste(8)     -1.74368  0.000106814
mateste(9)     -1.58085  0.000119514
mateste(10)      -1.4798  0.000121043
mateste(11)     -1.44139  0.000125752
mateste(12)     -1.47964  0.000122704
mateste(13)     -1.49522  0.000105602
mateste(14)     -1.36856   0.00011095
mateste(15)     -1.02698  0.000107857
mateste(16)    -0.473992 8.29954e-005
mateste(17) -1.11184e-008 8.29583e-006
matestfe(1)      -5.0884 -5.63606e-007
matestfe(2)     -3.96419 -1.15833e-006
matestfe(3)     -2.83997 2.74472e-006
matestfe(4)      -1.7284 6.46284e-007
matestfe(5)    -0.761882 -4.99658e-006
matestfe(6)    -0.253385 -5.38756e-006
matestfe(7)    -0.208275 1.89114e-006
matestfe(8)    -0.170535 4.47472e-006
mean_log_rec_f      13.2625 -0.000336436
rec_devf(1982)    -0.365259   0.00011496
rec_devf(1983)     0.865488 -0.000381783
rec_devf(1984)      1.22955 -0.000961565
rec_devf(1985)      2.20955   -0.0017272
rec_devf(1986)     0.473127  0.000121433
rec_devf(1987)      1.92103 -0.000255015
rec_devf(1988)     -1.46276  0.000154326
rec_devf(1989)   -0.0709887  8.2288e-005
rec_devf(1990)    -0.219698 5.23478e-005
rec_devf(1991)      2.16255  -0.00216619
rec_devf(1992)      1.08046 -0.000580493
rec_devf(1993)     0.123235 5.43655e-005
rec_devf(1994)      -1.1399  0.000197178
rec_devf(1995)     -1.76588   0.00019133
rec_devf(1996)     -1.37495  0.000209045
rec_devf(1997)     0.212523  0.000250099
rec_devf(1998)     0.252061  0.000341611
rec_devf(1999)    -0.944308  0.000294651
rec_devf(2000)     -1.01741  0.000205028
rec_devf(2001)   -0.0592839  0.000110059
rec_devf(2002)     0.638061 -2.30757e-005
rec_devf(2003)     0.979405 -4.00628e-005
rec_devf(2004)     0.261041  0.000102392
rec_devf(2005)     0.323817  0.000118747
rec_devf(2006)     -1.47566  0.000201304
rec_devf(2007)      -1.1072   0.00023689
rec_devf(2008)     0.515006  0.000467054
rec_devf(2009)    -0.345155  0.000413959
rec_devf(2010)    -0.890911  0.000345438
rec_devf(2011)     -1.20544  0.000257868
rec_devf(2012)    -0.783835  0.000194581
rec_devf(2013)    -0.466611  0.000200855
rec_devf(2014)     0.968815  0.000171081
rec_devf(2015)      1.79885  0.000198371
rec_devf(2016)      1.43145   0.00021256
rec_devf(2017)     -1.26623  0.000201572
rec_devf(2018)     -1.48454  0.000209332
rec_devf(2019)  9.4114e-008  0.000211746
mnatlen_styr(1,1)      13.5212 -5.80047e-005
mnatlen_styr(1,2)      12.7458 -2.41376e-005
mnatlen_styr(1,3)       12.439 -1.83224e-005
mnatlen_styr(1,4)      12.3754 -2.36139e-005
mnatlen_styr(1,5)       12.408 -2.91326e-005
mnatlen_styr(1,6)      12.3359 -2.96956e-005
mnatlen_styr(1,7)      12.1478 -2.67447e-005
mnatlen_styr(1,8)       11.881 -2.02286e-005
mnatlen_styr(1,9)      11.7434 -1.58126e-005
mnatlen_styr(1,10)      11.6203 -6.77464e-006
mnatlen_styr(1,11)      11.2405 6.88521e-006
mnatlen_styr(1,12)       10.947 -2.67664e-006
mnatlen_styr(1,13)      11.0617 -1.70895e-005
mnatlen_styr(1,14)      10.8521 -9.76918e-006
mnatlen_styr(1,15)      9.55157 -3.21746e-007
mnatlen_styr(1,16)      8.25458 4.93191e-006
mnatlen_styr(1,17)       7.2343 -3.79941e-006
mnatlen_styr(1,18)       6.5247 -2.08322e-006
mnatlen_styr(1,19)      6.02722 6.44625e-007
mnatlen_styr(1,20)      5.66655 -1.75351e-006
mnatlen_styr(1,21)      5.41688 -3.83749e-006
mnatlen_styr(1,22)      5.28778 4.45314e-006
mnatlen_styr(2,1)      1.72736 -3.55732e-006
mnatlen_styr(2,2)      3.20646 3.15712e-006
mnatlen_styr(2,3)      4.68555 2.09142e-006
mnatlen_styr(2,4)      6.16458 -6.91839e-006
mnatlen_styr(2,5)      7.64278 -2.47655e-006
mnatlen_styr(2,6)      9.10797 3.70833e-007
mnatlen_styr(2,7)      10.3381 2.71013e-006
mnatlen_styr(2,8)      11.1785 -3.36591e-006
mnatlen_styr(2,9)      11.6309 -2.99803e-006
mnatlen_styr(2,10)      11.8191 2.74143e-007
mnatlen_styr(2,11)      11.8591 4.79253e-006
mnatlen_styr(2,12)      11.8313 -5.98398e-006
mnatlen_styr(2,13)      11.8016 -3.4736e-006
mnatlen_styr(2,14)      11.7595 -2.26007e-006
mnatlen_styr(2,15)      11.6079 4.02151e-006
mnatlen_styr(2,16)      11.2751 6.84145e-006
mnatlen_styr(2,17)      10.6175 1.27042e-005
mnatlen_styr(2,18)      9.71232 1.29316e-005
mnatlen_styr(2,19)      8.64317 6.47854e-006
mnatlen_styr(2,20)      7.47839  3.4687e-006
mnatlen_styr(2,21)      6.27184 1.24744e-006
mnatlen_styr(2,22)       5.0552 -2.96044e-006
fnatlen_styr(1,1)     -9.89995 -5.38477e-008
fnatlen_styr(1,2)     -9.89995  8.4603e-007
fnatlen_styr(1,3)     -9.89995 1.98438e-007
fnatlen_styr(1,4)     -9.89995 1.03898e-006
fnatlen_styr(1,5)     -9.89995 -1.74091e-006
fnatlen_styr(1,6)     -9.89996 2.12322e-006
fnatlen_styr(1,7)     -9.89996 -3.88958e-007
fnatlen_styr(1,8)     -9.89996 2.28982e-006
fnatlen_styr(1,9)     -9.89996 4.44494e-006
fnatlen_styr(1,10)     -9.89996 -1.48398e-006
fnatlen_styr(1,11)     -9.89996 1.83479e-006
fnatlen_styr(1,12)     -9.89996 6.89419e-008
fnatlen_styr(2,1)      9.65414 -3.15834e-006
fnatlen_styr(2,2)      9.79107 3.49862e-006
fnatlen_styr(2,3)      10.2193 -3.81573e-007
fnatlen_styr(2,4)      11.2702 2.57674e-006
fnatlen_styr(2,5)       13.065 -2.92839e-006
fnatlen_styr(2,6)      13.8972 1.61123e-006
fnatlen_styr(2,7)      13.3441 -9.61577e-007
fnatlen_styr(2,8)      12.4239 -7.37303e-007
fnatlen_styr(2,9)       11.488 -8.81146e-007
fnatlen_styr(2,10)      10.0512 -1.14537e-006
fnatlen_styr(2,11)      9.07908 -1.79817e-006
fnatlen_styr(2,12)      8.65855  6.2367e-007
log_avg_fmort   -0.0385901 -7.62768e-005
fmort_dev(1982)     -1.02263 4.40184e-005
fmort_dev(1983)     -1.54876 1.24005e-005
fmort_dev(1984)     -0.89473 6.40687e-005
fmort_dev(1985)     -0.44184 5.85214e-005
fmort_dev(1986)     -0.10313 -8.98616e-005
fmort_dev(1987)     0.634793  0.000142568
